,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard,personal_details
0,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'cat.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
1,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'ruler.jpg', 'penguin.jpg', 'king.jpg'}","{'ruler.jpg', 'cobra.jpg', 'penguin.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
2,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'woods.jpg', 'bush.jpg'}","{'woods.jpg', 'bush.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
3,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,8,"['food.jpg', 'groundhog.jpg', 'drool.jpg', 'pie.jpg', 'cheese.jpg']","{'cheese.jpg', 'pie.jpg', 'food.jpg'}","{'pie.jpg', 'food.jpg', 'drool.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
4,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,1,"['salt.jpg', 'bread.jpg', 'landlord.jpg', 'witch.jpg', 'snack.jpg']","{'salt.jpg', 'snack.jpg', 'bread.jpg'}","{'salt.jpg', 'snack.jpg', 'bread.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
5,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,24,"['mirror.jpg', 'snot.jpg', 'pond.jpg', 'vitamin.jpg', 'eating.jpg', 'water.jpg']","{'water.jpg', 'mirror.jpg', 'pond.jpg'}","{'water.jpg', 'mirror.jpg', 'snot.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
6,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,25,"['pat.jpg', 'arc.jpg', 'horn.jpg', 'newt.jpg', 'fire.jpg', 'lizard.jpg']","{'fire.jpg', 'lizard.jpg', 'newt.jpg'}","{'fire.jpg', 'lizard.jpg', 'newt.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
7,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,30,"['insect.jpg', 'clock.jpg', 'woodwind.jpg', 'bug.jpg', 'jacket.jpg', 'wrench.jpg']","{'bug.jpg', 'clock.jpg', 'insect.jpg'}","{'jacket.jpg', 'clock.jpg', 'bug.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
8,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,37,"['crowd.jpg', 'teddy.jpg', 'skin.jpg', 'diamond.jpg', 'tin.jpg', 'crust.jpg']","{'skin.jpg', 'diamond.jpg'}","{'skin.jpg', 'diamond.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
9,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,39,"['road.jpg', 'homework.jpg', 'air force.jpg', 'weed.jpg', 'goose.jpg', 'morse code.jpg']","{'goose.jpg', 'road.jpg'}","{'road.jpg', 'weed.jpg'}",0.3333333333333333,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
10,31QNSG6A5SFEDNGBI88A8DCEEKV78S,A1DMXEJGJY02E1,3Q9SPIIRWJ8506CXXCVY70LYFEFWAK,Submitted,2022-05-08 21:33:50+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'cat.jpg'}",1.0,"{'ages': 34, 'gender': 'female', 'education': 'Bachelor', 'speaker': 'Native'}"
11,31QNSG6A5SFEDNGBI88A8DCEEKV78S,A1DMXEJGJY02E1,3Q9SPIIRWJ8506CXXCVY70LYFEFWAK,Submitted,2022-05-08 21:33:50+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'ruler.jpg', 'penguin.jpg', 'king.jpg'}","{'cobra.jpg', 'penguin.jpg', 'king.jpg'}",0.5,"{'ages': 34, 'gender': 'female', 'education': 'Bachelor', 'speaker': 'Native'}"
12,31QNSG6A5SFEDNGBI88A8DCEEKV78S,A1DMXEJGJY02E1,3Q9SPIIRWJ8506CXXCVY70LYFEFWAK,Submitted,2022-05-08 21:33:50+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'woods.jpg', 'bush.jpg'}","{'woods.jpg', 'crane.jpg'}",0.3333333333333333,"{'ages': 34, 'gender': 'female', 'education': 'Bachelor', 'speaker': 'Native'}"
