,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard,personal_details
0,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'cat.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
1,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'ruler.jpg', 'penguin.jpg', 'king.jpg'}","{'ruler.jpg', 'cobra.jpg', 'penguin.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
2,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'bush.jpg', 'woods.jpg'}","{'bush.jpg', 'woods.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
3,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,8,"['food.jpg', 'groundhog.jpg', 'drool.jpg', 'pie.jpg', 'cheese.jpg']","{'food.jpg', 'cheese.jpg', 'pie.jpg'}","{'food.jpg', 'drool.jpg', 'pie.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
4,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,1,"['salt.jpg', 'bread.jpg', 'landlord.jpg', 'witch.jpg', 'snack.jpg']","{'salt.jpg', 'bread.jpg', 'snack.jpg'}","{'salt.jpg', 'bread.jpg', 'snack.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
5,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,24,"['mirror.jpg', 'snot.jpg', 'pond.jpg', 'vitamin.jpg', 'eating.jpg', 'water.jpg']","{'pond.jpg', 'water.jpg', 'mirror.jpg'}","{'water.jpg', 'snot.jpg', 'mirror.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
6,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,25,"['pat.jpg', 'arc.jpg', 'horn.jpg', 'newt.jpg', 'fire.jpg', 'lizard.jpg']","{'newt.jpg', 'lizard.jpg', 'fire.jpg'}","{'newt.jpg', 'lizard.jpg', 'fire.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
7,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,30,"['insect.jpg', 'clock.jpg', 'woodwind.jpg', 'bug.jpg', 'jacket.jpg', 'wrench.jpg']","{'clock.jpg', 'insect.jpg', 'bug.jpg'}","{'jacket.jpg', 'clock.jpg', 'bug.jpg'}",0.5,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
8,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,37,"['crowd.jpg', 'teddy.jpg', 'skin.jpg', 'diamond.jpg', 'tin.jpg', 'crust.jpg']","{'diamond.jpg', 'skin.jpg'}","{'diamond.jpg', 'skin.jpg'}",1.0,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
9,3OUYGIZWR8KL14F8JQPCFKXHV7FP02,A14GKRTUEHBLBZ,3X55NP42EO2FWCGBCB2TSYZWG7KP3M,Submitted,2022-05-06 06:13:58+03:00,39,"['road.jpg', 'homework.jpg', 'air force.jpg', 'weed.jpg', 'goose.jpg', 'morse code.jpg']","{'road.jpg', 'goose.jpg'}","{'weed.jpg', 'road.jpg'}",0.3333333333333333,"{'ages': 33, 'gender': 'female', 'education': 'Master', 'speaker': 'NoneNative'}"
10,3OHYZ19UGDRZHH1PWS9QFQ44UOCOAS,A3BUWQ5C39GRQC,3BC9H1KCYUY6WOA0DI9EAM35I5IYWW,Submitted,2022-05-06 02:20:46+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'cat.jpg'}",1.0,"{'ages': 41, 'gender': 'female', 'education': 'Bachelor', 'speaker': 'Native'}"
11,3OHYZ19UGDRZHH1PWS9QFQ44UOCOAS,A3BUWQ5C39GRQC,3BC9H1KCYUY6WOA0DI9EAM35I5IYWW,Submitted,2022-05-06 02:20:46+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'ruler.jpg', 'penguin.jpg', 'king.jpg'}","{'cobra.jpg', 'king.jpg', 'penguin.jpg'}",0.5,"{'ages': 41, 'gender': 'female', 'education': 'Bachelor', 'speaker': 'Native'}"
12,3OHYZ19UGDRZHH1PWS9QFQ44UOCOAS,A3BUWQ5C39GRQC,3BC9H1KCYUY6WOA0DI9EAM35I5IYWW,Submitted,2022-05-06 02:20:46+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'bush.jpg', 'woods.jpg'}","{'bush.jpg', 'woods.jpg'}",1.0,"{'ages': 41, 'gender': 'female', 'education': 'Bachelor', 'speaker': 'Native'}"
