image,cue,label,ID,image_url
parakeet.jpg,feathers,1,178,https://winogavil.s3.eu-west-1.amazonaws.com/parakeet.jpg
rooster.jpg,peck,1,179,https://winogavil.s3.eu-west-1.amazonaws.com/rooster.jpg
parakeet.jpg,peck,1,179,https://winogavil.s3.eu-west-1.amazonaws.com/parakeet.jpg
length.jpg,clothes,1,180,https://winogavil.s3.eu-west-1.amazonaws.com/length.jpg
stewardess.jpg,clothes,1,180,https://winogavil.s3.eu-west-1.amazonaws.com/stewardess.jpg
back.jpg,female,1,181,https://winogavil.s3.eu-west-1.amazonaws.com/back.jpg
carriage.jpg,female,1,181,https://winogavil.s3.eu-west-1.amazonaws.com/carriage.jpg
back.jpg,exercise,1,182,https://winogavil.s3.eu-west-1.amazonaws.com/back.jpg
t-shirt.jpg,exercise,1,182,https://winogavil.s3.eu-west-1.amazonaws.com/t-shirt.jpg
floor.jpg,carpentry,1,183,https://winogavil.s3.eu-west-1.amazonaws.com/floor.jpg
school.jpg,carpentry,1,183,https://winogavil.s3.eu-west-1.amazonaws.com/school.jpg
sheet.jpg,starch,1,184,https://winogavil.s3.eu-west-1.amazonaws.com/sheet.jpg
tie.jpg,starch,1,184,https://winogavil.s3.eu-west-1.amazonaws.com/tie.jpg
mouth.jpg,illness,1,185,https://winogavil.s3.eu-west-1.amazonaws.com/mouth.jpg
wound.jpg,illness,1,185,https://winogavil.s3.eu-west-1.amazonaws.com/wound.jpg
sheet.jpg,crisp,1,186,https://winogavil.s3.eu-west-1.amazonaws.com/sheet.jpg
tie.jpg,crisp,1,186,https://winogavil.s3.eu-west-1.amazonaws.com/tie.jpg
electrician.jpg,uniform,1,187,https://winogavil.s3.eu-west-1.amazonaws.com/electrician.jpg
stewardess.jpg,uniform,1,187,https://winogavil.s3.eu-west-1.amazonaws.com/stewardess.jpg
electrician.jpg,hat,1,188,https://winogavil.s3.eu-west-1.amazonaws.com/electrician.jpg
stewardess.jpg,hat,1,188,https://winogavil.s3.eu-west-1.amazonaws.com/stewardess.jpg
electrician.jpg,hats,1,189,https://winogavil.s3.eu-west-1.amazonaws.com/electrician.jpg
stewardess.jpg,hats,1,189,https://winogavil.s3.eu-west-1.amazonaws.com/stewardess.jpg
electrician.jpg,hands,1,190,https://winogavil.s3.eu-west-1.amazonaws.com/electrician.jpg
stewardess.jpg,hands,1,190,https://winogavil.s3.eu-west-1.amazonaws.com/stewardess.jpg
lawyer.jpg,hands,1,190,https://winogavil.s3.eu-west-1.amazonaws.com/lawyer.jpg
electrician.jpg,male,1,191,https://winogavil.s3.eu-west-1.amazonaws.com/electrician.jpg
lawyer.jpg,male,1,191,https://winogavil.s3.eu-west-1.amazonaws.com/lawyer.jpg
hobo.jpg,human,1,192,https://winogavil.s3.eu-west-1.amazonaws.com/hobo.jpg
dad.jpg,human,1,192,https://winogavil.s3.eu-west-1.amazonaws.com/dad.jpg
steakhouse.jpg,meat,1,193,https://winogavil.s3.eu-west-1.amazonaws.com/steakhouse.jpg
lunch.jpg,meat,1,193,https://winogavil.s3.eu-west-1.amazonaws.com/lunch.jpg
veil.jpg,female,1,194,https://winogavil.s3.eu-west-1.amazonaws.com/veil.jpg
carnival.jpg,female,1,194,https://winogavil.s3.eu-west-1.amazonaws.com/carnival.jpg
veil.jpg,outfit,1,195,https://winogavil.s3.eu-west-1.amazonaws.com/veil.jpg
carnival.jpg,outfit,1,195,https://winogavil.s3.eu-west-1.amazonaws.com/carnival.jpg
carnival.jpg,pride,1,196,https://winogavil.s3.eu-west-1.amazonaws.com/carnival.jpg
puzzle.jpg,pride,1,196,https://winogavil.s3.eu-west-1.amazonaws.com/puzzle.jpg
